Date,Sample.ID,Batch,CRM.TA,CRM.Sal,Acid.Conc,Dens.Funct,HCL.Bottle
20140505,20140505_CRM,Batch109,2224.26,33.328,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140508,20140508_CRM1,Batch109,2224.26,33.328,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140508,20140508_CRM2,Batch109,2224.26,33.328,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140512,20140512_CRM1,Batch109,2224.26,33.328,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140512,20140512_CRM2,Batch109,2224.26,33.328,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140515,20140515_CRM1,Batch122,2233.32,33.435,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140515,20140515_CRM2,Batch122,2233.32,33.435,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140519,20140519_CRM1,Batch122,2233.32,33.435,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140519,20140519_CRM2,Batch122,2233.32,33.435,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140522,20140522_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140522,20140522_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140527,20140527_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140527,20140527_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140529,20140529_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140529,20140529_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140602,20140602_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140602,20140602_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140605,20140605_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140605,20140605_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140609,20140609_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140609,20140609_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140612,20140612_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140612,20140612_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140613,20140613_CRM1,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
20140613,20140613_CRM2,Batch135,2226.33,33.561,0.100171,1.02933-((1.401x10^-4)*(T))-3.31x10^-6*(T^2),Bottle 156
