 Comment / ID, Start time, Sample size, Corr. f, Density,,
 CRM2, 5/29/2014 5:29:55 PM, 100.27 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,-3.6, NaN, NaN,0,21.2
0.04,0.04,-50.1,-46.5, NaN,28,21.1
0.08,0.04,-50.6,-0.5, NaN,31,21.1
0.12,0.04,-49.4,1.2, NaN,34,21.1
0.16,0.04,-45.9,3.5, NaN,39,21.1
0.2,0.04,-34.6,11.3, NaN,69,21.1
0.24,0.04,-25.4,9.2, NaN,94,21.1
0.28,0.04,-21.1,4.3, NaN,103,21.1
0.32,0.04,-14.4,6.7, NaN,123,21.1
0.36,0.04,-10.7,3.7, NaN,130,21.1
0.4,0.04,-7.9,2.8, NaN,137,21.1
0.44,0.04,-5.4,2.5, NaN,144,21.1
0.48,0.04,-1.5,3.9, NaN,151,21.1
0.52,0.04,0.3,1.8, NaN,156,21.1
0.56,0.04,4,3.7, NaN,161,21.1
0.6,0.04,5.7,1.7, NaN,165,21.1
0.64,0.04,8.2,2.5, NaN,172,21.1
0.68,0.04,11.8,3.6, NaN,182,21.1
0.72,0.04,15,3.2, NaN,187,21.1
0.76,0.04,16.7,1.7, NaN,192,21.1
0.8,0.04,19.8,3.1, NaN,197,21.1
0.84,0.04,24.2,4.4, NaN,201,21.1
0.88,0.04,27.4,3.2, NaN,205,21.1
0.92,0.04,30.3,2.9, NaN,209,21.1
0.96,0.04,33.1,2.8, NaN,213,21.1
1,0.04,34,0.9, NaN,217,21.1
1.04,0.04,37.1,3.1, NaN,221,21.1
1.08,0.04,38.1,1, NaN,225,21.1
1.12,0.04,42.1,4, NaN,229,21.1
1.16,0.04,45.7,3.6, NaN,232,21.1
1.2,0.04,46.8,1.1, NaN,236,21.1
1.24,0.04,48.9,2.1, NaN,240,21.1
1.28,0.04,50.6,1.7, NaN,243,21.1
1.32,0.04,51.1,0.5, NaN,247,21.1
1.36,0.04,54.7,3.6, NaN,251,21.1
1.4,0.04,60.3,5.6, NaN,255,21.1
1.44,0.04,62.6,2.3, NaN,258,21.1
1.48,0.04,66.5,3.9, NaN,262,21.1
