 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Tank5, 5/29/2014 4:54:53 PM, 100.39 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,38.9, NaN, NaN,0,21.4
0.04,0.04,-33.2,-72.1, NaN,28,21.5
0.08,0.04,-34.2,-1, NaN,31,21.5
0.12,0.04,-34.6,-0.4, NaN,34,21.5
0.16,0.04,-34,0.6, NaN,38,21.5
0.2,0.04,-31.3,2.7, NaN,44,21.4
0.24,0.04,-17.8,13.5, NaN,74,21.4
0.28,0.04,-12.3,5.5, NaN,88,21.4
0.32,0.04,-7.9,4.4, NaN,101,21.4
0.36,0.04,-3.4,4.5, NaN,116,21.4
0.4,0.04,-0.2,3.2, NaN,120,21.4
0.44,0.04,3.3,3.5, NaN,127,21.4
0.48,0.04,5.6,2.3, NaN,131,21.4
0.52,0.04,7.6,2, NaN,137,21.4
0.56,0.04,10.6,3, NaN,147,21.4
0.6,0.04,12.6,2, NaN,152,21.4
0.64,0.04,16,3.4, NaN,165,21.4
0.68,0.04,20.1,4.1, NaN,170,21.4
0.72,0.04,22.1,2, NaN,174,21.4
0.76,0.04,23.8,1.7, NaN,179,21.4
0.8,0.04,26.5,2.7, NaN,184,21.4
0.84,0.04,28.6,2.1, NaN,188,21.4
0.88,0.04,29.9,1.3, NaN,193,21.4
0.92,0.04,33.2,3.3, NaN,197,21.4
0.96,0.04,35.7,2.5, NaN,202,21.4
1,0.04,39.4,3.7, NaN,206,21.4
1.04,0.04,45.1,5.7, NaN,210,21.4
1.08,0.04,49,3.9, NaN,214,21.4
1.12,0.04,51.7,2.7, NaN,218,21.4
1.16,0.04,53.5,1.8, NaN,221,21.4
1.2,0.04,55.5,2, NaN,225,21.4
1.24,0.04,58.2,2.7, NaN,228,21.4
1.28,0.04,59,0.8, NaN,232,21.4
1.32,0.04,62.3,3.3, NaN,236,21.4
1.36,0.04,67.7,5.4, NaN,240,21.4
1.4,0.04,68.4,0.7, NaN,243,21.4
1.44,0.04,69.4,1, NaN,246,21.4
1.48,0.04,68.7,-0.7, NaN,250,21.4
1.52,0.04,73.4,4.7, NaN,254,21.4
1.56,0.04,79.6,6.2, NaN,257,21.4
1.6,0.04,79,-0.6, NaN,274,21.4
1.64,0.04,86.2,7.2, NaN,278,21.4
1.68,0.04,90.1,3.9, NaN,282,21.4
1.72,0.04,94.2,4.1, NaN,286,21.4
1.76,0.04,94.4,0.2, NaN,289,21.4
1.8,0.04,97.5,3.1, NaN,293,21.4
1.84,0.04,98.9,1.4, NaN,297,21.4
1.88,0.04,106.5,7.6, NaN,301,21.4
1.92,0.04,106.1,-0.4, NaN,304,21.4
1.96,0.04,110.4,4.3, NaN,309,21.4
2,0.04,121.8,11.4, NaN,313,21.4
2.04,0.04,127.4,5.6, NaN,326,21.4
2.08,0.04,135.8,8.4, NaN,332,21.4
2.12,0.04,145.9,10.1, NaN,342,21.4
2.16,0.04,159.9,14,234.99,345,21.4
2.2,0.04,167.9,8,220.79,349,21.4
2.24,0.04,173.1,5.2,174.16,355,21.4
2.28,0.04,178.7,5.6,128.43,359,21.4
2.32,0.04,185.7,7,100.84,363,21.4
2.34,0.02,186.5,0.8,105.66,727,21.3
2.36,0.02,188.1,1.6,99.71,732,21.3
2.38,0.02,189.9,1.8,84.61,735,21.3
2.4,0.02,192.3,2.4,79.52,739,21.3
2.42,0.02,193.4,1.1,88.93,743,21.3
2.44,0.02,195.3,1.9,77.55,746,21.3
2.46,0.02,196.8,1.5,69.38,750,21.3
2.48,0.02,198.5,1.7,68.74,753,21.3
2.5,0.02,199.1,0.6,66.42,758,21.3
2.52,0.02,200.5,1.4,58.23,762,21.3
2.54,0.02,202.1,1.6,58.87,766,21.3
2.56,0.02,203.5,1.4,57.05,769,21.3
2.58,0.02,203.7,0.2,52.33,773,21.3
2.6,0.02,205,1.3,45.98,777,21.3
2.62,0.02,206.5,1.5,42.66,780,21.3
2.64,0.02,206.8,0.3,48.47,785,21.3
2.66,0.02,207.6,0.8,47.61,788,21.3
2.68,0.02,208.9,1.3,44.62,791,21.3
2.7,0.02,209.6,0.7,44.51,795,21.3
2.72,0.02,211.1,1.5,44.09,798,21.3
2.74,0.02,211,-0.1,40.27,801,21.3
2.76,0.02,212.4,1.4,37.24,805,21.3
2.78,0.02,212.8,0.4,37.33,808,21.3
2.8,0.02,213.7,0.9,36.25,812,21.3
2.82,0.02,214.6,0.9,36.09,815,21.3
2.84,0.02,215,0.4,33.35,819,21.3
2.86,0.02,215.8,0.8,35.03,822,21.3
2.88,0.02,216.4,0.6,31.17,826,21.3
2.9,0.02,217,0.6,31.07,829,21.3
2.92,0.02,218,1,31.4,832,21.3
2.94,0.02,218.2,0.2,30.06,836,21.3
2.96,0.02,218.7,0.5,28.54,840,21.3
2.98,0.02,219.6,0.9,28.35,844,21.3
3,0.02,220.1,0.5,27.23,847,21.3
3.02,0.02,220.6,0.5,28.88,851,21.3
3.04,0.02,221,0.4,27.38,856,21.3
3.06,0.02,221.8,0.8,26.62,860,21.3
3.08,0.02,222.1,0.3,27.26,863,21.3
3.1,0.02,222.9,0.8,26.41,866,21.3
3.12,0.02,223.3,0.4,24.97,870,21.3
3.14,0.02,223.7,0.4,22.3,873,21.3
3.16,0.02,224.2,0.5,22.53,876,21.3
3.18,0.02,224.7,0.5,22.94,880,21.3
3.2,0.02,225.1,0.4,25.32,884,21.3
3.22,0.02,225.5,0.4,24.86,887,21.3
3.24,0.02,226.2,0.7,23.34,890,21.3
3.26,0.02,226.7,0.5,21.42,893,21.3
3.28,0.02,227,0.3,20.24,896,21.3
3.3,0.02,227.3,0.3,18.72,900,21.3
3.32,0.02,227.7,0.4,18.1,904,21.3
3.34,0.02,228.1,0.4,19.2,907,21.3
3.36,0.02,228.6,0.5,20.29,910,21.3
3.38,0.02,228.9,0.3,20.81,913,21.3
3.4,0.02,229.3,0.4,19.64,917,21.3
3.42,0.02,229.7,0.4,21.7,920,21.3
3.44,0.02,230.2,0.5,21.56,923,21.3
3.46,0.02,230.6,0.4,20.74,926,21.3
3.48,0.02,230.9,0.3,17.8,930,21.3
3.5,0.02,231.6,0.7,16.49,933,21.3
3.52,0.02,231.5,-0.1,15.58,936,21.3
3.54,0.02,231.9,0.4,14.95,942,21.3
3.56,0.02,232.2,0.3,15.2,945,21.3
3.58,0.02,232.7,0.5,16.96,948,21.3
3.6,0.02,232.9,0.2,19.68,952,21.3
3.62,0.02,233.2,0.3,17.8,956,21.3
3.64,0.02,233.7,0.5,16.25,959,21.3
3.66,0.02,234.1,0.4,15.41,962,21.3
3.68,0.02,234.3,0.2,16.05,966,21.3
3.7,0.02,234.5,0.2,15.22,969,21.3
3.72,0.02,234.8,0.3, NaN,975,21.3
3.74,0.02,235.3,0.5, NaN,978,21.3
3.76,0.02,235.6,0.3, NaN,982,21.3
3.78,0.02,235.8,0.2, NaN,985,21.3
3.8,0.02,236.1,0.3, NaN,988,21.3
