 Comment / ID, Start time, Sample size, Corr. f, Density,,
 Sample5, 6/13/2014 2:18:23 PM, 99.98 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,42.6, NaN, NaN,0,21.3
0.04,0.04,-26.6,-69.2, NaN,28,21.3
0.08,0.04,-28.2,-1.6, NaN,31,21.3
0.12,0.04,-29,-0.8, NaN,34,21.3
0.16,0.04,-28.6,0.4, NaN,38,21.3
0.2,0.04,-18.9,9.7, NaN,68,21.3
0.24,0.04,-13.2,5.7, NaN,84,21.3
0.28,0.04,-8.9,4.3, NaN,90,21.3
0.32,0.04,-5.5,3.4, NaN,101,21.3
0.36,0.04,-1.8,3.7, NaN,107,21.3
0.4,0.04,-0.2,1.6, NaN,111,21.3
0.44,0.04,3.4,3.6, NaN,120,21.3
0.48,0.04,5.2,1.8, NaN,126,21.4
0.52,0.04,10.4,5.2, NaN,132,21.3
0.56,0.04,13,2.6, NaN,136,21.4
0.6,0.04,15,2, NaN,141,21.4
0.64,0.04,18.6,3.6, NaN,146,21.3
0.68,0.04,27,8.4, NaN,150,21.4
0.72,0.04,28.1,1.1, NaN,154,21.4
0.76,0.04,30,1.9, NaN,158,21.4
0.8,0.04,33.2,3.2, NaN,161,21.4
0.84,0.04,36.6,3.4, NaN,165,21.4
0.88,0.04,36.4,-0.2, NaN,169,21.4
0.92,0.04,36.9,0.5, NaN,172,21.4
0.96,0.04,38,1.1, NaN,176,21.4
1,0.04,38.6,0.6, NaN,180,21.4
1.04,0.04,43.7,5.1, NaN,184,21.4
1.08,0.04,48.9,5.2, NaN,188,21.4
1.12,0.04,51.5,2.6, NaN,192,21.4
1.16,0.04,51.4,-0.1, NaN,195,21.4
1.2,0.04,52.4,1, NaN,199,21.4
1.24,0.04,56.9,4.5, NaN,203,21.4
1.28,0.04,60.1,3.2, NaN,206,21.4
1.32,0.04,61.2,1.1, NaN,210,21.4
1.36,0.04,65.5,4.3, NaN,214,21.4
1.4,0.04,68.1,2.6, NaN,217,21.4
1.44,0.04,67.6,-0.5, NaN,220,21.4
1.48,0.04,69.3,1.7, NaN,224,21.4
1.52,0.04,73.7,4.4, NaN,228,21.4
1.56,0.04,75.8,2.1, NaN,232,21.4
1.6,0.04,76.3,0.5, NaN,236,21.4
1.64,0.04,83.4,7.1, NaN,239,21.4
1.68,0.04,93,9.6, NaN,243,21.4
1.72,0.04,98.4,5.4, NaN,247,21.4
1.76,0.04,101.4,3, NaN,250,21.4
1.8,0.04,108.9,7.5, NaN,254,21.4
1.84,0.04,97.2,-11.7, NaN,269,21.4
1.88,0.04,107.6,10.4, NaN,273,21.4
1.92,0.04,117.4,9.8, NaN,277,21.4
1.96,0.04,118.3,0.9, NaN,281,21.4
2,0.04,121.2,2.9, NaN,284,21.4
2.04,0.04,131.8,10.6, NaN,288,21.4
2.08,0.04,140.3,8.5, NaN,292,21.4
2.12,0.04,143.9,3.6, NaN,296,21.4
2.16,0.04,152.3,8.4,213.17,300,21.4
2.2,0.04,161.8,9.5,202.11,306,21.4
2.24,0.04,172.3,10.5,202.06,309,21.4
2.28,0.04,178.7,6.4,177.38,313,21.4
2.32,0.04,183.5,4.8,128.97,317,21.4
2.34,0.02,184.7,1.2,105.74,685,21.3
2.36,0.02,187.9,3.2,93.52,689,21.3
2.38,0.02,189,1.1,99.4,699,21.3
2.4,0.02,192.1,3.1,98.58,702,21.3
2.42,0.02,193.4,1.3,94.09,706,21.3
2.44,0.02,195.9,2.5,81.89,710,21.3
2.46,0.02,196.4,0.5,76.63,714,21.3
2.48,0.02,198.3,1.9,64.89,718,21.3
2.5,0.02,200,1.7,65.61,721,21.3
2.52,0.02,200.8,0.8,62.72,725,21.3
2.54,0.02,202.1,1.3,67.95,730,21.3
2.56,0.02,203.3,1.2,62.18,733,21.3
2.58,0.02,204.9,1.6,60.81,737,21.3
2.6,0.02,206,1.1,58.67,740,21.3
2.62,0.02,207.3,1.3,49.47,744,21.3
2.64,0.02,207.6,0.3,36.13,747,21.3
2.66,0.02,208.6,1,22.95,754,21.3
2.68,0.02,209.3,0.7,19.74,758,21.3
2.7,0.02,209.3,0,21.56,761,21.3
2.72,0.02,209.3,0,28.42,764,21.3
2.74,0.02,210.2,0.9,34.06,768,21.3
2.76,0.02,211.5,1.3,43.27,771,21.3
2.78,0.02,212.2,0.7,46.91,774,21.3
2.8,0.02,213,0.8,42.06,778,21.3
2.82,0.02,213.8,0.8,35.07,781,21.3
2.84,0.02,214.6,0.8,34.19,785,21.3
2.86,0.02,215.1,0.5,38.33,789,21.3
2.88,0.02,215.8,0.7,39.61,795,21.3
2.9,0.02,216.7,0.9,39.59,799,21.3
2.92,0.02,217.7,1,37.48,803,21.3
2.94,0.02,218.5,0.8,37.18,806,21.3
2.96,0.02,218.9,0.4,34.22,809,21.3
2.98,0.02,219.5,0.6,32.17,813,21.3
3,0.02,220.2,0.7,31.24,816,21.3
3.02,0.02,221.2,1,32.37,820,21.3
3.04,0.02,221.5,0.3,29.96,823,21.3
3.06,0.02,222.1,0.6,25.7,826,21.3
3.08,0.02,222.6,0.5,23.67,829,21.3
3.1,0.02,223.2,0.6,24.29,832,21.3
3.12,0.02,223.4,0.2,25.71,838,21.3
3.14,0.02,224.1,0.7,26.14,841,21.3
3.16,0.02,224.7,0.6,26.2,844,21.3
3.18,0.02,225.2,0.5,26.72,849,21.3
3.2,0.02,225.6,0.4,27.27,853,21.3
3.22,0.02,226.3,0.7,25.49,856,21.3
3.24,0.02,226.6,0.3,23.9,860,21.3
3.26,0.02,227.3,0.7,22.29,863,21.3
3.28,0.02,227.7,0.4,21.2,866,21.3
3.3,0.02,228,0.3,20.31,870,21.3
3.32,0.02,228.3,0.3,21.55,873,21.3
3.34,0.02,228.9,0.6,21.99,878,21.3
3.36,0.02,229.4,0.5,23.2,881,21.3
3.38,0.02,229.8,0.4,24.18,885,21.3
3.4,0.02,230.3,0.5,23.4,889,21.3
3.42,0.02,230.7,0.4,21.39,893,21.3
3.44,0.02,231.1,0.4,19.99,896,21.3
3.46,0.02,231.7,0.6,19.57,899,21.3
3.48,0.02,231.9,0.2,18.08,903,21.3
3.5,0.02,232.2,0.3,18,908,21.3
3.52,0.02,232.6,0.4,17.77,911,21.3
3.54,0.02,233.1,0.5,18.41,914,21.3
3.56,0.02,233.3,0.2,19.6,918,21.3
3.58,0.02,233.8,0.5,18.59,921,21.3
3.6,0.02,234.1,0.3,17.47,924,21.3
3.62,0.02,234.5,0.4,16.15,928,21.3
3.64,0.02,234.8,0.3,16.27,931,21.3
3.66,0.02,235.1,0.3,15.95,934,21.3
3.68,0.02,235.4,0.3,17.28,939,21.3
3.7,0.02,235.7,0.3,17.29,942,21.3
3.72,0.02,236.2,0.5, NaN,946,21.3
3.74,0.02,236.5,0.3, NaN,950,21.3
3.76,0.02,236.8,0.3, NaN,953,21.3
3.78,0.02,237,0.2, NaN,958,21.3
3.8,0.02,237.3,0.3, NaN,961,21.3
