 Comment / ID, Start time, Sample size, Corr. f, Density,,
 CRM1, 6/19/2014 1:15:32 PM, 99.45 g,1, 1.0 g/mL,,
 EQP titration[1],,,,,,
 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,23.3, NaN, NaN,0,21.7
0.04,0.04,-44.5,-67.8, NaN,28,21.7
0.08,0.04,-45.5,-1, NaN,31,21.7
0.12,0.04,-44.9,0.6, NaN,35,21.7
0.16,0.04,-44,0.9, NaN,40,21.7
0.2,0.04,-32.3,11.7, NaN,70,21.7
0.24,0.04,-23,9.3, NaN,95,21.6
0.28,0.04,-19.7,3.3, NaN,103,21.6
0.32,0.04,-12.4,7.3, NaN,124,21.6
0.36,0.04,-9,3.4, NaN,130,21.6
0.4,0.04,-6.3,2.7, NaN,139,21.6
0.44,0.04,-3.4,2.9, NaN,146,21.6
0.48,0.04,-0.9,2.5, NaN,151,21.6
0.52,0.04,0.6,1.5, NaN,156,21.6
0.56,0.04,4.5,3.9, NaN,161,21.6
0.6,0.04,6.1,1.6, NaN,166,21.6
0.64,0.04,11.4,5.3, NaN,178,21.6
0.68,0.04,14.8,3.4, NaN,185,21.6
0.72,0.04,17.7,2.9, NaN,191,21.6
0.76,0.04,22.2,4.5, NaN,196,21.6
0.8,0.04,23.6,1.4, NaN,200,21.6
0.84,0.04,26.2,2.6, NaN,205,21.6
0.88,0.04,29.6,3.4, NaN,209,21.6
0.92,0.04,30.6,1, NaN,213,21.6
0.96,0.04,32.4,1.8, NaN,218,21.6
1,0.04,35.3,2.9, NaN,222,21.6
1.04,0.04,37.1,1.8, NaN,227,21.6
1.08,0.04,39.6,2.5, NaN,231,21.6
1.12,0.04,43.8,4.2, NaN,235,21.6
1.16,0.04,46.6,2.8, NaN,240,21.6
1.2,0.04,50.8,4.2, NaN,244,21.6
1.24,0.04,52.8,2, NaN,248,21.6
1.28,0.04,53.2,0.4, NaN,251,21.6
1.32,0.04,56.7,3.5, NaN,255,21.7
1.36,0.04,60,3.3, NaN,259,21.6
1.4,0.04,62,2, NaN,263,21.7
1.44,0.04,64.6,2.6, NaN,267,21.7
1.48,0.04,70.3,5.7, NaN,271,21.7
1.52,0.04,73.6,3.3, NaN,275,21.6
1.56,0.04,75.3,1.7, NaN,278,21.7
1.6,0.04,78,2.7, NaN,282,21.7
1.64,0.04,80.8,2.8, NaN,286,21.7
1.68,0.04,84.6,3.8, NaN,290,21.7
1.72,0.04,88.9,4.3, NaN,294,21.7
