 Volume, Increment, Signal, Change, 1st deriv., Time, Temperature
 mL, mL, mV, mV, mV/mL, s, oC
0, NaN,31.9, NaN, NaN,0,21
0.1,0.1,-39.2,-71.1, NaN,28,21
0.2,0.1,-40.3,-1.1, NaN,31,21
0.3,0.1,-36.3,4, NaN,36,21
0.4,0.1,-16,20.3, NaN,63,21
0.5,0.1,-9.7,6.3, NaN,69,21
0.6,0.1,-2.2,7.5, NaN,79,21
0.7,0.1,-0.2,2, NaN,82,21
0.8,0.1,3.3,3.5, NaN,86,21
0.9,0.1,8.2,4.9, NaN,93,21
1,0.1,14.6,6.4, NaN,97,21
1.1,0.1,18.6,4, NaN,101,21
1.2,0.1,24.2,5.6, NaN,105,21
1.3,0.1,26.7,2.5, NaN,108,21
1.4,0.1,32.3,5.6, NaN,112,21
1.5,0.1,36.9,4.6, NaN,116,21
1.6,0.1,41.9,5, NaN,120,21
1.7,0.1,47.6,5.7, NaN,124,21
1.8,0.1,72.7,25.1, NaN,154,21.1
1.9,0.1,85,12.3, NaN,160,21.1
2,0.1,100.6,15.6, NaN,166,21.1
2.1,0.1,124.6,24, NaN,173,21
2.2,0.1,155.9,31.3,218.19,178,21.1
2.3,0.1,176.6,20.7,197.68,184,21.1
2.4,0.1,189.6,13,142.04,188,21.1
2.5,0.1,197,7.4,81.27,192,21.1
2.6,0.1,203.8,6.8,44.38,196,21.1
2.65,0.05,206.3,2.5,42.31,560,21.2
2.7,0.05,209.1,2.8,42.33,564,21.2
2.75,0.05,210.7,1.6,41.71,568,21.2
2.8,0.05,212.8,2.1,37.13,572,21.2
2.85,0.05,214.6,1.8,35.03,576,21.2
2.9,0.05,216.4,1.8,32.03,580,21.2
2.95,0.05,218.2,1.8,29.99,583,21.2
3,0.05,219.2,1,27.35,587,21.2
3.05,0.05,220.6,1.4,24.69,591,21.2
3.1,0.05,221.8,1.2,23.74,594,21.2
3.15,0.05,223.1,1.3,22.94,598,21.2
3.2,0.05,224.3,1.2,22.98,601,21.2
3.25,0.05,225,0.7,22.02,604,21.2
3.3,0.05,226.6,1.6,21.63,608,21.2
3.35,0.05,227.3,0.7,20.6,612,21.2
3.4,0.05,228.6,1.3,20.22,615,21.2
3.45,0.05,229.5,0.9,20.6,618,21.2
3.5,0.05,230.4,0.9,19.54,622,21.2
3.55,0.05,231.3,0.9,19.15,625,21.2
3.6,0.05,232.5,1.2, NaN,629,21.2
3.65,0.05,233.5,1, NaN,632,21.2
3.7,0.05,233.9,0.4, NaN,636,21.2
3.75,0.05,234.7,0.8, NaN,639,21.2
3.8,0.05,235.6,0.9, NaN,642,21.2
